id,category,type,registration_number,deletion_date,registration,country
1172687,AVREG_DATA.CATEGORIES.AIRPLANE,PS-28 Cruiser,SCD,2013-02-18T14:51:54.000Z,OK-SCD,CZ
1172703,AVREG_DATA.CATEGORIES.AIRPLANE,PS-28 Cruiser,SCF,2013-04-04T08:00:00.000Z,OK-SCF,CZ
1172721,AVREG_DATA.CATEGORIES.AIRPLANE,PS-28 Cruiser,BLB,,OK-BLB,CZ
1172759,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA46,CFB,2013-10-02T08:00:00.000Z,OK-CFB,CZ
1173047,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 152,MMB,2020-07-31T10:30:00.000Z,OK-MMB,CZ
1173233,AVREG_DATA.CATEGORIES.GLIDER,TWIN ASTIR,3456,2015-06-08T11:00:00.000Z,OK-3456,CZ
1173411,AVREG_DATA.CATEGORIES.AIRPLANE,Tecnam P2002 JF,GPS,2023-03-21T15:30:00.000Z,OK-GPS,CZ
1173617,AVREG_DATA.CATEGORIES.GLIDER,NIMBUS,3531,,OK-3531,CZ
1173647,AVREG_DATA.CATEGORIES.GLIDER,NIMBUS,1419,,OK-1419,CZ
1174081,AVREG_DATA.CATEGORIES.GLIDER,ASTIR CS,1215,,OK-1215,CZ
1174086,AVREG_DATA.CATEGORIES.GLIDER,K7,1745,2022-02-16T16:00:00.000Z,OK-1745,CZ
1174097,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,BLP,,OK-BLP,CZ
1174457,AVREG_DATA.CATEGORIES.GLIDER,DG-100,3727,2020-05-25T07:30:00.000Z,OK-3727,CZ
1174475,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA28,UFO,2021-04-22T11:00:00.000Z,OK-UFO,CZ
1174482,AVREG_DATA.CATEGORIES.HELICOPTER,R 22,OBA,2023-06-07T23:00:00.000Z,OK-OBA,CZ
1174659,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB,3003,,OK-3003,CZ
1174757,AVREG_DATA.CATEGORIES.GLIDER,Bergfalke,1368,,OK-1368,CZ
1175405,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB,4828,2021-06-08T07:00:00.000Z,OK-4828,CZ
1175461,AVREG_DATA.CATEGORIES.AIRPLANE,MS 890,PLZ,2018-12-28T07:00:00.000Z,OK-PLZ,CZ
1175551,AVREG_DATA.CATEGORIES.GLIDER,K7,6620,,OK-6620,CZ
1175652,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA28,TEA,,OK-TEA,CZ
1175702,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,SDS,2012-03-08T14:00:00.000Z,OK-SDS,CZ
1175729,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,SDZ,2012-02-27T09:00:00.000Z,OK-SDZ,CZ
1175849,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA28,JOR,,OK-JOR,CZ
1176038,AVREG_DATA.CATEGORIES.POWERED_GLIDER,VENTUS,1020,,OK-1020,CZ
1176402,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna F177,WIB,,OK-WIB,CZ
1177031,AVREG_DATA.CATEGORIES.GLIDER,DG-300 ,1950,,OK-1950,CZ
1177062,,P.66,JDV,,OK-JDV,CZ
1177206,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB-S,1209,,OK-1209,CZ
1177594,AVREG_DATA.CATEGORIES.GLIDER,AS-K13,6066,2017-05-03T10:00:00.000Z,OK-6066,CZ
1177642,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA34 ,RBR,2024-09-11T23:00:00.000Z,OK-RBR,CZ
1178407,AVREG_DATA.CATEGORIES.GLIDER,Phoebus C,0571,,OK-0571,CZ
1178613,AVREG_DATA.CATEGORIES.AIRPLANE,Z 526,DRB,,OK-DRB,CZ
1178642,AVREG_DATA.CATEGORIES.AIRPLANE,B 737,TVT,,OK-TVT,CZ
1178650,AVREG_DATA.CATEGORIES.AIRPLANE,B 737,TVU,,OK-TVU,CZ
1178729,AVREG_DATA.CATEGORIES.HELICOPTER,Schweizer 269,PIN,,OK-PIN,CZ
1178794,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB,3831,2015-01-29T13:00:00.000Z,OK-3831,CZ
1178821,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,VAA,,OK-VAA,CZ
1178867,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna F 172,ZBR,,OK-ZBR,CZ
1178873,AVREG_DATA.CATEGORIES.GLIDER,LS 3,9664,,OK-9664,CZ
1178879,AVREG_DATA.CATEGORIES.GLIDER,LS 1-f,8522,,OK-8522,CZ
1179147,AVREG_DATA.CATEGORIES.GLIDER,TWIN ASTIR,9917,,OK-9917,CZ
1179232,AVREG_DATA.CATEGORIES.AIRPLANE,Tecnam P 92-JS,HDG,2022-03-23T09:00:00.000Z,OK-HDG,CZ
1179345,AVREG_DATA.CATEGORIES.GLIDER,Standard Cirrus,4703,,OK-4703,CZ
1179468,AVREG_DATA.CATEGORIES.GLIDER,LS 6,3123,,OK-3123,CZ
1180022,AVREG_DATA.CATEGORIES.GLIDER,ASW 15,9281,,OK-9281,CZ
1180291,AVREG_DATA.CATEGORIES.POWERED_GLIDER,ASW 27,2992,,OK-2992,CZ
1180507,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,GTP,,OK-GTP,CZ
1180586,AVREG_DATA.CATEGORIES.HELICOPTER,R 22,MAY,,OK-MAY,CZ
1180734,AVREG_DATA.CATEGORIES.GLIDER,VENTUS,9902,,OK-9902,CZ
1185930,AVREG_DATA.CATEGORIES.AIRPLANE,Z 226,LLR,,OK-LLR,CZ
1186057,AVREG_DATA.CATEGORIES.POWERED_GLIDER,HPH Glasflügel 304,3017,,OK-3017,CZ
1186111,AVREG_DATA.CATEGORIES.GLIDER,PW-6U,3751,,OK-3751,CZ
1186227,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA28,AGT,2012-07-23T23:00:00.000Z,OK-AGT,CZ
1186250,AVREG_DATA.CATEGORIES.AIRPLANE,DA 40,DAI,2024-02-21T07:30:00.000Z,OK-DAI,CZ
1186514,AVREG_DATA.CATEGORIES.GLIDER,AS-K13,0419,,OK-0419,CZ
1186587,AVREG_DATA.CATEGORIES.HELICOPTER,EC 120,BST,2023-07-03T15:30:00.000Z,OK-BST,CZ
1186848,,SportStar RTC,EVK,2019-06-06T10:00:00.000Z,OK-EVK,CZ
